# FinGuard Sample Transactions CSV
# Format: timestamp, transactionId, accountId, type, amount, location, deviceId
1772171745, FRD001_HV1, FRD001, DEBIT, 56000, Mumbai, DEV10
1772171835, FRD001_HV2, FRD001, DEBIT, 57000, Mumbai, DEV10
1772171925, FRD001_HV3, FRD001, DEBIT, 58000, Mumbai, DEV10
1772172015, FRD001_HV4, FRD001, DEBIT, 59000, Mumbai, DEV10
1772172105, FRD001_HV5, FRD001, DEBIT, 60000, Mumbai, DEV10
1772171855, FRD002_C1, FRD002, DEBIT, 15000, Delhi, DEV20
1772171915, FRD002_C2, FRD002, DEBIT, 12000, Mumbai, DEV20
1772172035, FRD002_C3, FRD002, DEBIT, 18000, Bangalore, DEV20
1772172075, FRD002_C4, FRD002, DEBIT, 22000, Chennai, DEV20
1772172125, FRD003_D1, FRD003, DEBIT, 8500, Hyderabad, DEV31
1772172195, FRD003_D2, FRD003, DEBIT, 9000, Hyderabad, DEV32
1772172265, FRD003_D3, FRD003, DEBIT, 9500, Hyderabad, DEV33
1772172335, FRD003_D4, FRD003, DEBIT, 10000, Hyderabad, DEV34
1772172405, FRD003_D5, FRD003, DEBIT, 10500, Hyderabad, DEV35
1772172475, FRD003_D6, FRD003, DEBIT, 11000, Hyderabad, DEV36
1772172545, FRD003_D7, FRD003, DEBIT, 11500, Hyderabad, DEV37
1772171855, FRD001_SP1, FRD001, DEBIT, 54000, Pune, DEV10
1772171955, FRD001_SP2, FRD001, DEBIT, 56000, Pune, DEV10
1772172055, FRD001_SP3, FRD001, DEBIT, 58000, Pune, DEV10
1772172155, FRD001_SP4, FRD001, DEBIT, 60000, Pune, DEV10
1772172255, FRD001_SP5, FRD001, DEBIT, 62000, Pune, DEV10
1772174060, TXN002001, ACC502, DEBIT, 8377.78, Delhi, DEV21
1772174263, TXN002002, ACC601, DEBIT, 8219.64, Delhi, DEV23
1772173475, TXN002003, ACC504, CREDIT, 1559.56, Chennai, DEV12
1772174586, TXN002004, ACC601, DEBIT, 21654.56, Chennai, DEV11
1772174593, TXN002005, ACC601, DEBIT, 27686.38, Mumbai, DEV23
1772174148, TXN002006, ACC601, DEBIT, 17994.81, Delhi, DEV10
1772174611, TXN002007, ACC501, CREDIT, 12037.21, Kolkata, DEV24
1772172192, TXN002008, ACC501, CREDIT, 3955.29, Mumbai, DEV23
1772172555, TXN002009, ACC603, DEBIT, 1834.95, Bangalore, DEV22
1772173831, TXN002010, ACC601, CREDIT, 19353.91, Mumbai, DEV14
1772172441, TXN002011, ACC501, DEBIT, 22045.24, Chennai, DEV12
1772171910, TXN002012, ACC505, DEBIT, 15904.89, Mumbai, DEV23
1772173454, TXN002013, ACC501, DEBIT, 2413.19, Jaipur, DEV10
1772174010, TXN002014, ACC501, DEBIT, 11759.99, Lucknow, DEV25
1772173875, TXN002015, ACC501, DEBIT, 24268.59, Chennai, DEV11
1772173572, TXN002016, ACC505, CREDIT, 22553.15, Bangalore, DEV25
1772171725, TXN002017, ACC604, CREDIT, 5370.88, Lucknow, DEV13
1772172026, TXN002018, ACC505, DEBIT, 4540.81, Chennai, DEV23
1772172431, TXN002019, ACC601, CREDIT, 20661.3, Kolkata, DEV25
1772174229, TXN002020, ACC503, CREDIT, 1226.51, Kolkata, DEV25
1772172898, TXN002021, ACC605, DEBIT, 1654.41, Mumbai, DEV12
1772172433, TXN002022, ACC601, CREDIT, 4141.8, Hyderabad, DEV10
1772172037, TXN002023, ACC504, CREDIT, 771.27, Chennai, DEV23
1772171807, TXN002024, ACC604, CREDIT, 25858.65, Jaipur, DEV12
1772172661, TXN002025, ACC601, DEBIT, 9417.92, Pune, DEV22
1772172314, TXN002026, ACC501, CREDIT, 23949.11, Bangalore, DEV25
1772172142, TXN002027, ACC604, CREDIT, 17186.32, Delhi, DEV12
1772174220, TXN002028, ACC502, CREDIT, 13847.43, Kolkata, DEV13
1772172909, TXN002029, ACC605, CREDIT, 24810.1, Hyderabad, DEV21
1772172117, TXN002030, ACC502, CREDIT, 22102.99, Mumbai, DEV11
1772173109, TXN002031, ACC601, CREDIT, 29417.03, Hyderabad, DEV11
1772174861, TXN002032, ACC502, CREDIT, 28772.97, Chennai, DEV21
1772174615, TXN002033, ACC603, CREDIT, 24628.76, Bangalore, DEV13
1772172545, TXN002034, ACC604, DEBIT, 7355.33, Pune, DEV11
1772174656, TXN002035, ACC602, CREDIT, 26902.79, Mumbai, DEV14
1772174459, TXN002036, ACC605, CREDIT, 29575.77, Lucknow, DEV14
1772172217, TXN002037, ACC601, CREDIT, 21748.83, Bangalore, DEV22
1772172055, TXN002038, ACC604, CREDIT, 6512.86, Chennai, DEV21
1772173562, TXN002039, ACC603, CREDIT, 2068.98, Kolkata, DEV11
1772171855, TXN002040, ACC503, DEBIT, 8619.81, Chennai, DEV11
1772174830, TXN002041, ACC505, CREDIT, 20376.99, Chennai, DEV14
1772175253, TXN002042, ACC504, DEBIT, 28641.93, Jaipur, DEV13
1772173790, TXN002043, ACC602, DEBIT, 14633.68, Chennai, DEV25
1772174825, TXN002044, ACC504, CREDIT, 995.03, Lucknow, DEV24
1772172729, TXN002045, ACC601, DEBIT, 20789.63, Mumbai, DEV24
1772174015, TXN002046, ACC605, CREDIT, 1426.03, Bangalore, DEV25
1772172882, TXN002047, ACC602, CREDIT, 11448.7, Mumbai, DEV22
1772172893, TXN002048, ACC503, CREDIT, 10157.32, Pune, DEV22
1772174050, TXN002049, ACC501, DEBIT, 29867.89, Delhi, DEV24
1772172920, TXN002050, ACC501, DEBIT, 5994.95, Kolkata, DEV13
1772173973, TXN002051, ACC502, CREDIT, 6465.21, Lucknow, DEV11
1772173966, TXN002052, ACC602, CREDIT, 13138.61, Jaipur, DEV13
1772173198, TXN002053, ACC502, CREDIT, 20665.18, Ahmedabad, DEV21
1772173136, TXN002054, ACC602, DEBIT, 9840.94, Lucknow, DEV22
1772173600, TXN002055, ACC604, CREDIT, 23046.89, Pune, DEV13
1772173280, TXN002056, ACC605, DEBIT, 12900.09, Kolkata, DEV24
1772173168, TXN002057, ACC502, DEBIT, 29090.81, Kolkata, DEV14
1772173316, TXN002058, ACC504, DEBIT, 3365.91, Hyderabad, DEV23
1772172333, TXN002059, ACC603, CREDIT, 15522.76, Hyderabad, DEV25
1772172405, TXN002060, ACC605, CREDIT, 25784.53, Jaipur, DEV22
1772173473, TXN002061, ACC504, CREDIT, 19265.38, Mumbai, DEV11
1772174965, TXN002062, ACC601, DEBIT, 11716.63, Delhi, DEV13
1772172049, TXN002063, ACC501, DEBIT, 27998.86, Pune, DEV10
1772174633, TXN002064, ACC604, DEBIT, 24270.04, Chennai, DEV21
1772172693, TXN002065, ACC601, CREDIT, 3323.61, Mumbai, DEV10
1772173564, TXN002066, ACC603, CREDIT, 20816.27, Kolkata, DEV23
1772174858, TXN002067, ACC504, CREDIT, 25847.58, Hyderabad, DEV24
1772175045, TXN002068, ACC604, CREDIT, 28536.7, Pune, DEV10
1772174707, TXN002069, ACC502, CREDIT, 24921.23, Ahmedabad, DEV25
1772173253, TXN002070, ACC605, CREDIT, 11311.18, Delhi, DEV12
1772173726, TXN002071, ACC605, CREDIT, 10925.38, Lucknow, DEV10
1772174715, TXN002072, ACC504, DEBIT, 26995.49, Delhi, DEV25
1772173500, TXN002073, ACC605, CREDIT, 10029.43, Mumbai, DEV21
1772172122, TXN002074, ACC502, DEBIT, 14429.08, Ahmedabad, DEV11
1772173031, TXN002075, ACC601, DEBIT, 30333.49, Lucknow, DEV23
1772173388, TXN002076, ACC602, DEBIT, 26801.43, Kolkata, DEV10
1772174992, TXN002077, ACC604, DEBIT, 12744.97, Lucknow, DEV13
1772174646, TXN002078, ACC604, DEBIT, 25637.35, Mumbai, DEV24
1772174475, TXN002079, ACC604, DEBIT, 19141.88, Bangalore, DEV24
1772173865, TXN002080, ACC505, CREDIT, 8981.7, Ahmedabad, DEV14
1772172977, TXN002081, ACC502, DEBIT, 15888.61, Delhi, DEV11
1772172921, TXN002082, ACC505, CREDIT, 23751.32, Pune, DEV11
1772172927, TXN002083, ACC604, DEBIT, 8927.88, Lucknow, DEV13
1772173129, TXN002084, ACC601, CREDIT, 12086.53, Delhi, DEV11
1772174335, TXN002085, ACC602, DEBIT, 25210.68, Hyderabad, DEV25
1772172056, TXN002086, ACC505, CREDIT, 3466.49, Bangalore, DEV22
1772172716, TXN002087, ACC603, DEBIT, 30063.38, Chennai, DEV21
1772172205, TXN002088, ACC602, CREDIT, 10303.48, Bangalore, DEV14
1772174036, TXN002089, ACC503, DEBIT, 4216.82, Delhi, DEV14
1772172276, TXN002090, ACC503, DEBIT, 27224.1, Bangalore, DEV23
1772171782, TXN002091, ACC505, DEBIT, 5125.15, Mumbai, DEV24
1772173710, TXN002092, ACC602, DEBIT, 17406.28, Jaipur, DEV24
1772174905, TXN002093, ACC604, CREDIT, 9406.77, Mumbai, DEV11
1772172100, TXN002094, ACC503, DEBIT, 5144.87, Mumbai, DEV11
1772173991, TXN002095, ACC602, CREDIT, 22204.14, Hyderabad, DEV10
1772174841, TXN002096, ACC601, CREDIT, 1572.42, Chennai, DEV14
1772175064, TXN002097, ACC503, CREDIT, 26099.63, Kolkata, DEV11
1772173312, TXN002098, ACC604, CREDIT, 5799.46, Bangalore, DEV22
1772171825, TXN002099, ACC501, CREDIT, 3369.97, Bangalore, DEV25
1772174579, TXN002100, ACC604, DEBIT, 12961.51, Delhi, DEV24
1772174267, TXN002101, ACC505, CREDIT, 14793.62, Delhi, DEV11
1772172401, TXN002102, ACC505, DEBIT, 21439.89, Chennai, DEV10
1772174211, TXN002103, ACC501, CREDIT, 13961.05, Chennai, DEV12
1772174979, TXN002104, ACC501, DEBIT, 14336.06, Mumbai, DEV12
1772173413, TXN002105, ACC605, CREDIT, 19168.63, Lucknow, DEV12
1772174691, TXN002106, ACC501, DEBIT, 12901.25, Mumbai, DEV11
1772174142, TXN002107, ACC504, DEBIT, 5474.25, Jaipur, DEV23
1772174591, TXN002108, ACC501, DEBIT, 18155.72, Jaipur, DEV21
1772174285, TXN002109, ACC601, CREDIT, 5744.74, Delhi, DEV23
1772172986, TXN002110, ACC505, CREDIT, 746.82, Hyderabad, DEV23
1772173501, TXN002111, ACC605, DEBIT, 3922.08, Ahmedabad, DEV23
1772173883, TXN002112, ACC601, CREDIT, 11690.31, Pune, DEV25
1772173904, TXN002113, ACC502, DEBIT, 1293.91, Pune, DEV24
1772173782, TXN002114, ACC605, CREDIT, 3136.68, Ahmedabad, DEV13
1772173198, TXN002115, ACC501, CREDIT, 27790.59, Delhi, DEV25
1772175095, TXN002116, ACC605, DEBIT, 14226.78, Pune, DEV24
1772173185, TXN002117, ACC501, CREDIT, 20565.69, Jaipur, DEV23
1772175098, TXN002118, ACC603, DEBIT, 24257.25, Mumbai, DEV24
1772173604, TXN002119, ACC505, DEBIT, 21590.64, Mumbai, DEV14
1772172546, TXN002120, ACC502, DEBIT, 3439.65, Hyderabad, DEV22
1772171694, TXN002121, ACC603, CREDIT, 16839.8, Ahmedabad, DEV23
1772174211, TXN002122, ACC604, DEBIT, 11288.63, Lucknow, DEV11
1772172438, TXN002123, ACC604, DEBIT, 23051.04, Mumbai, DEV10
1772171781, TXN002124, ACC602, DEBIT, 9858.9, Lucknow, DEV13
1772174797, TXN002125, ACC601, CREDIT, 3637.55, Jaipur, DEV25
1772171804, TXN002126, ACC603, CREDIT, 6610.28, Ahmedabad, DEV23
1772175012, TXN002127, ACC503, DEBIT, 9802.6, Ahmedabad, DEV21
1772174772, TXN002128, ACC504, DEBIT, 8769.05, Mumbai, DEV22
1772174066, TXN002129, ACC502, CREDIT, 21577.14, Ahmedabad, DEV22
1772172078, TXN002130, ACC602, CREDIT, 14662.25, Chennai, DEV14
1772174050, TXN002131, ACC603, DEBIT, 20971.6, Bangalore, DEV24
1772173790, TXN002132, ACC601, DEBIT, 6045.86, Mumbai, DEV24
1772175145, TXN002133, ACC601, DEBIT, 30432.21, Hyderabad, DEV22
1772172651, TXN002134, ACC502, DEBIT, 12888.89, Chennai, DEV22
1772173043, TXN002135, ACC504, CREDIT, 1885.58, Delhi, DEV10
1772174723, TXN002136, ACC601, CREDIT, 11327.57, Chennai, DEV13
1772171905, TXN002137, ACC501, DEBIT, 21714.31, Bangalore, DEV13
1772172326, TXN002138, ACC604, CREDIT, 3218.7, Lucknow, DEV21
1772172396, TXN002139, ACC505, DEBIT, 20120.01, Bangalore, DEV13
1772172237, TXN002140, ACC501, DEBIT, 23237.76, Hyderabad, DEV24
1772173555, TXN002141, ACC601, CREDIT, 20044.55, Lucknow, DEV10
1772174537, TXN002142, ACC602, CREDIT, 12535.36, Pune, DEV11
1772174417, TXN002143, ACC605, DEBIT, 14001.59, Delhi, DEV22
1772173156, TXN002144, ACC604, CREDIT, 4892.79, Pune, DEV10
1772174508, TXN002145, ACC505, DEBIT, 23934.43, Chennai, DEV23
1772174900, TXN002146, ACC503, CREDIT, 17156.3, Pune, DEV14
1772174513, TXN002147, ACC502, CREDIT, 1575.44, Jaipur, DEV13
1772173118, TXN002148, ACC501, CREDIT, 7211.7, Jaipur, DEV24
1772173608, TXN002149, ACC601, DEBIT, 18023.55, Pune, DEV10
1772171930, TXN002150, ACC505, DEBIT, 14865.77, Pune, DEV23
1772172703, TXN002151, ACC501, DEBIT, 11270.66, Kolkata, DEV25
1772174508, TXN002152, ACC503, CREDIT, 8714.97, Mumbai, DEV21
1772173769, TXN002153, ACC501, CREDIT, 24155.9, Delhi, DEV22
1772172736, TXN002154, ACC605, DEBIT, 18206.22, Lucknow, DEV11
1772172147, TXN002155, ACC604, DEBIT, 11342.01, Jaipur, DEV10
